  id                                                                                                                                  Topic terms
   0                   health, pandemic, study, care, case, disease, infection, risk, report, covid, measure, increase, model, number, conclusion
   1         study, case, disease, infection, group, risk, covid, outcome, treatment, mortality, associate, report, increase, conclusion, symptom
   2             cell, protein, virus, infection, study, disease, drug, response, target, cause, treatment, identify, vaccine, increase, analysis
   3                        health, pandemic, study, care, disease, research, model, system, base, case, impact, risk, increase, country, measure
   4                          study, infection, test, disease, case, virus, sample, method, detection, base, antibody, covid, report, group, cell
   5              study, disease, case, infection, pandemic, health, risk, treatment, covid, care, increase, report, model, conclusion, associate
   6                        study, pandemic, disease, infection, health, case, risk, care, increase, model, base, covid, virus, report, treatment
   7                        study, disease, case, infection, pandemic, health, treatment, risk, increase, care, report, covid, base, model, group
   8                       study, pandemic, disease, health, case, infection, model, care, base, risk, increase, report, covid, treatment, system
   9                        study, disease, infection, case, pandemic, health, treatment, care, risk, report, increase, base, covid, model, group
  10                       study, disease, pandemic, health, case, infection, model, base, care, treatment, increase, risk, report, covid, system
  11                        study, disease, case, pandemic, infection, health, treatment, model, increase, base, risk, report, care, covid, virus
  12                        study, disease, infection, case, treatment, pandemic, health, increase, report, base, group, risk, covid, model, cell
  13                        study, disease, infection, case, pandemic, treatment, health, increase, report, risk, covid, model, base, virus, cell
  14                    study, disease, cell, infection, increase, treatment, case, effect, model, pandemic, base, group, analysis, report, virus
  15                        study, disease, pandemic, infection, case, health, treatment, increase, report, risk, care, covid, model, base, virus
  16                        study, disease, pandemic, infection, case, health, treatment, model, increase, base, report, care, covid, risk, virus
  17                       study, disease, pandemic, health, infection, case, care, treatment, model, base, increase, report, covid, risk, system
  18                       study, pandemic, disease, health, case, infection, care, treatment, increase, report, model, base, covid, risk, system
  19                      study, disease, pandemic, infection, case, health, model, treatment, base, increase, report, virus, covid, risk, system
  20                        study, disease, pandemic, infection, case, health, treatment, increase, report, virus, covid, base, care, risk, model
  21                        study, disease, pandemic, health, infection, case, care, treatment, increase, covid, risk, report, base, model, virus
  22                        study, disease, pandemic, infection, case, health, treatment, report, care, covid, increase, risk, base, virus, model
  23                         infection, disease, study, pandemic, case, dan, pour, virus, health, covid, treatment, etait, report, increase, risk
  24                        study, disease, infection, pandemic, case, health, treatment, report, virus, covid, increase, risk, cell, model, base
  25                        study, disease, pandemic, infection, case, health, treatment, virus, report, increase, covid, cell, base, model, risk
  26                        pandemic, study, disease, health, case, infection, care, treatment, report, covid, increase, virus, risk, model, base
  27                        study, disease, pandemic, infection, case, health, treatment, report, covid, increase, risk, care, virus, base, model
  28                        disease, study, pandemic, infection, case, health, treatment, care, report, covid, increase, virus, risk, base, cause
  29                        study, disease, pandemic, infection, case, health, virus, treatment, report, increase, covid, base, model, care, cell
  30                        study, disease, pandemic, infection, health, case, treatment, covid, report, virus, increase, care, base, risk, model
  31                      study, disease, pandemic, case, infection, health, treatment, model, report, covid, increase, virus, base, risk, system
  32                        pandemic, disease, study, health, infection, case, treatment, care, covid, report, increase, base, virus, risk, model
  33                       disease, study, pandemic, infection, case, health, treatment, covid, report, care, virus, risk, base, increase, system
  34                        study, disease, case, pandemic, infection, health, treatment, report, virus, covid, increase, base, model, risk, test
  35                      pandemic, disease, study, health, infection, case, care, covid, treatment, virus, report, increase, system, risk, model
  36                        study, disease, pandemic, infection, case, health, treatment, report, covid, virus, increase, care, risk, base, model
  37                        disease, study, pandemic, infection, case, health, covid, treatment, report, increase, virus, care, base, model, risk
  38                        disease, study, infection, pandemic, case, health, treatment, report, covid, virus, increase, care, risk, cause, base
  39                        disease, study, pandemic, infection, case, health, treatment, report, covid, virus, care, increase, risk, base, cause
  40                        disease, pandemic, study, infection, case, health, covid, treatment, report, virus, care, increase, risk, model, base
  41                        disease, pandemic, study, infection, case, health, treatment, report, virus, covid, base, increase, care, risk, model
  42                        disease, study, pandemic, infection, case, health, report, treatment, covid, virus, increase, risk, care, base, cause
  43                        disease, pandemic, study, infection, case, health, report, treatment, virus, covid, care, increase, cause, risk, base
  44                        disease, pandemic, study, infection, case, health, covid, treatment, report, care, virus, increase, risk, base, cause
  45                        disease, pandemic, study, infection, case, health, treatment, report, virus, covid, care, increase, cause, risk, cell
  46                        disease, pandemic, study, infection, case, health, treatment, virus, report, covid, increase, care, risk, cause, base
  47                        pandemic, disease, study, infection, case, health, treatment, report, covid, virus, care, risk, increase, base, cause
  48                        pandemic, disease, study, infection, case, health, treatment, covid, report, virus, care, increase, base, risk, cause
  49                        disease, pandemic, study, infection, case, health, report, treatment, covid, virus, care, risk, increase, cause, base
  50                       pandemic, disease, case, study, infection, health, report, covid, care, treatment, base, risk, increase, virus, system
  51                        disease, pandemic, study, infection, case, health, report, treatment, virus, covid, increase, care, base, cause, risk
  52                        disease, pandemic, infection, study, case, health, covid, treatment, report, virus, care, risk, base, cause, increase
  53                        pandemic, disease, infection, study, case, health, covid, report, virus, treatment, care, increase, cause, risk, base
  54                      pandemic, disease, study, infection, case, health, report, treatment, virus, covid, increase, care, base, cause, system
  55                       pandemic, disease, study, infection, case, health, report, treatment, virus, care, covid, increase, risk, base, system
  56                        pandemic, disease, study, infection, case, health, treatment, covid, report, care, increase, virus, risk, base, cause
  57                        disease, pandemic, infection, study, case, health, report, covid, treatment, virus, care, risk, cause, increase, base
  58                        pandemic, disease, study, infection, case, health, report, virus, covid, treatment, increase, care, risk, cause, base
  59                        disease, pandemic, study, infection, case, health, virus, report, treatment, covid, cause, care, increase, base, risk
  60                 disease, pandemic, infection, case, study, report, health, treatment, covid, virus, increase, risk, cause, care, coronavirus
  61                        pandemic, disease, case, infection, study, health, report, covid, treatment, virus, base, care, risk, increase, cause
  62                 pandemic, disease, study, infection, case, health, report, covid, virus, treatment, care, cause, risk, coronavirus, increase
  63                      disease, pandemic, infection, case, study, health, report, treatment, virus, covid, care, cause, system, increase, risk
  64                        pandemic, disease, case, study, infection, health, report, treatment, covid, virus, care, increase, cause, base, risk
  65                        disease, pandemic, study, infection, case, health, report, treatment, covid, increase, virus, cause, risk, care, cell
  66                        pandemic, disease, case, infection, study, health, report, treatment, covid, virus, care, risk, increase, cause, base
  67                       pandemic, disease, study, infection, case, health, report, covid, cause, treatment, virus, care, increase, risk, model
  68                        pandemic, disease, case, infection, study, health, report, covid, virus, treatment, base, care, cause, increase, risk
  69                        pandemic, disease, infection, study, case, health, report, covid, treatment, virus, care, cause, base, increase, risk
  70                        disease, pandemic, infection, study, case, health, report, treatment, virus, covid, cause, care, risk, increase, cell
  71                     pandemic, disease, case, infection, study, health, report, covid, virus, treatment, increase, system, care, model, cause
